RAMPAGE,SIÊU THÚ CUỒNG NỘ,20/04/2018,110,en,"Dwayne Johnson, Jeffrey Dean Morgan, Malin Akerman và Josh Lucas",Brad Peyton,"Nhà nghiên cứu Davis Okoye có mối liên hệ rất bền vững với George, một chú khỉ đột vô cùng thông minh được con người chăm sóc từ khi sinh ra. Sự cố ập đến sau một cuộc thí nghiệm di truyền, George bị biến đổi thành một con quái vật đầy giận dữ.


Vụ việc trở nên tồi tệ khi ngày càng có nhiều hơn các con quái vật xuất hiện và chúng hủy hoại gần như toàn bộ Bắc Mỹ. Trước tình hình này, nhóm của Davis Okoye cùng với một người chuyên nghiên cứu về  di truyền tìm mọi cách để bảo vệ thuốc giải, đồng thời chiến đấu nhằm ngăn chặn thảm họa và cứu những người bạn của mình.",playing,R,http://img.vung.tv/images/movies/19892/poster_01_ije35875.jpg,http://img.vung.tv/images/movies/19892/bg_01_ngp39176.jpg,Fantasy/Sci-Fi
BRAVEN,ĐỐI ĐẦU,13/4/2018,108,en,"Jason Momoa, Stephen Lang, Garret Dillahunt",Lin Oeding,"Bộ phim kể về hành trình đẫm máu của Joe Braven (Jason Momoa) để bảo vệ gia đình mình khỏi sự nguy hiểm đến từ những kẻ buôn lậu thuốc phiện dọc biên giới Mỹ và Canada.

Phim có sự kết hợp của hai bậc thầy phim hành động: Jason Momoa - Thủ lĩnh trong ""Game of Thrones"", sắp tới sẽ trở thành Aquaman trong phần phim dành riêng cho siêu anh hùng đến từ đại dương và Stephen Lang - Ông già gân võ thuật siêu đẳng trong bộ phim ""Sát Nhân Trong Bóng Tối"".",playing,NC-17,http://img.vung.tv/images/movies/19622/poster_01_fth28356.jpg,http://img.vung.tv/images/movies/19622/bg_01_pmj71225.jpg,Drama/Thriller
READY PLAYER ONE,ĐẤU TRƯỜNG ẢO,30/3/2018,145,en,"Tye Sheridan, Olivia Cooke, Hannah John-Kamen",Steven Spielberg,"Nhân vật chính của bộ phim là Wade Watts, một chàng trai sống tại Columbus, bang Ohio năm 2045. Cậu thoát khỏi phiền muộn hằng ngày bằng cách tham gia trò chơi trực tuyến mang tên ""Ốc Đảo"". Khi nhà tỉ phú sáng lập trò chơi qua đời, ông ta tặng tài sản của mình cho người chơi như là một phần thưởng khi tìm thấy easter egg trong ""Ốc Đảo"". Chàng trai của chúng ta cũng đi săn giải thưởng và cuối cùng đã tìm được sau năm năm chiến đấu với những kẻ như mình - ở trong trò chơi và cả ngoài đời thực.",playing,PG-13,https://www.galaxycine.vn/media/2018/3/29/45-1_1522307359058.jpg,http://img.vung.tv/images/movies/19834/bg_01_uni13683.jpg,Thriller/Fantasy
Pacific Rim 2: Uprising,Đại Chiến Thái Bình Dương 2: Trỗi Dậy ,23/03/2018,123,en,"John Boyega, Scott Eastwood, Cailee Spaeny",Steven S. DeKnight,"Uprising (Đại Chiến Thái Bình Dương: Trỗi Dậy) lấy bối cảnh 10 năm sau những sự kiện đã diễn ra ở phần 1, Jake Pentecost – truyền nhân duy nhất của huyền thoại Stacker Pentecost đã thực hiện lời hứa với cha mình, gia nhập nhóm người điều khiển Jaeger gồm có Lambert (Scott Eastwood) và Amara chỉ mới 15 tuổi (Cailee Spaeny), cùng nhau xây dựng nên một chiến tuyến chống lại Kaiju. Cuộc xung đột toàn cầu kéo dài giữa những quái vật âm mưu phá hủy thế giới và những robot khổng lồ do con người chế tạo ra nhằm đánh bại lũ quái vật hứa hẹn sẽ là một cuộc chiến cam go và kịch tính khi lũ quái vật giờ đây đã tiến hóa vượt bậc cả về thể lực và trí lực.",playing,PG-13,http://img.vung.tv/images/movies/19814/poster_01_plm72948.jpg,http://img.vung.tv/images/movies/19814/bg_01_fgf32826.jpg,Adventure/Sci-Fi/Action
Maze Runner: The Death Cure,Giải Mã Mê Cung: Lối Thoát Tử Thần ,26/02/2018,110,en,"Rosa Salazar, Thomas Brodie-Sangster, Dylan O'Brien",Wes Ball,"Trong hồi kết hoành tráng của loạt phim Giải mã mê cung, Thomas dẫn dắt nhóm các Trảng viên vừa trốn thoát vượt qua sứ mệnh cuối cùng và nguy hiểm nhất. Để cứu bạn bè, họ phải xâm nhập vào Thành phố Cuối cùng huyền thoại do WCKD điều khiển, một mê cung chết chóc nhất họ từng gặp phải. Trảng viên nào sống sót rời khỏi đó sẽ có được câu trả lời cho những thắc mắc đã xuất hiện từ khi họ mới bước vào mê cung.",playing,PG-13,http://img.vung.tv/images/movies/19530/poster_01_nhd98333.jpg,http://img.vung.tv/images/movies/19530/bg_01_etj84676.jpg,Thriller/Action
Fifty Shades Freed,50 Sắc Thái Tự Do ,14/02/2018,98,en,"Eric Johnson, Jamie Dornan, Dakota Johnson",James Foley,"Sau hôn lễ, cặp đôi cùng nhau đi thẳng tới sân bay để cùng tận hưởng kỳ nghỉ trăng mật. Khi chiếc xe Audi sang trọng chở cặp đôi dừng lại trước một chuyên cơ khổng lồ, cô dâu Anastasia không thể giấu được bất ngờ trước khối tài sản đồ sộ đang hiện hữu trước mắt mình. Cô thích thú hỏi anh: “Anh sở hữu cái này à?”. Đáp lại là lời khẳng định chắc nịch của Christian: “Chúng ta cùng sở hữu nó”.",playing,NC-17,http://img.vung.tv/images/movies/19655/poster_01_dnp13559.jpg,http://img.vung.tv/images/movies/19655/bg_01_jtd16660.jpg,Romance/Thriller
The Bachelors,Thị Trấn Tình Yêu ,20/4/2018,109,en,"Kitana Turnbull, Odeya Rush, J.K. Simmons",Kurt Voelker,"Khi Jeanie, người bạn đời của Bill mất vì bạo bệnh, ông vì quá đau buồn nên đã quyết định cùng cậu con trai – Wes chuyển tới sống tại một thị trấn mới với hi vọng sẽ xoa dịu được nỗi đau. Tại đây, cha con Bill (J.K.Simmons) và Wes thay vì tìm ra một lối thoát dễ dàng, cả hai lại tỏ ra lúng túng trong việc cố gắng lắp những mảnh ghép mới, những khoảnh khắc vui buồn lẫn lộn và cũng lạ lùng vào bức tranh cuộc đời còn đang mang màu mất mát của họ. Thị Trấn Tình Yêu là một hành trình, một bài học dễ thương với hai cha con Bill và Wes. Hai người sẽ phải học cách sống cùng mất mát và thậm chí là học lại cách yêu và được yêu.",playing,G,http://img.vung.tv/images/movies/19885/poster_01_gjr88396.jpg,http://img.vung.tv/images/movies/19885/bg_01_mrd11106.jpg,Comedy
The Commuter,Hành Khách Bí Ẩn ,29/03/2018,132,en,"Liam Neeson, Vera Farmiga, Patrick Wilson",Jaume Collet-Serra,"The Commuter (Hành Khách Bí Ẩn) là sản phẩm đánh dấu sự hợp tác lần thứ tư giữa ngôi sao điện ảnh Liam Nesson và Jaume Collect-Serra sau 3 dự án điện ảnh gây sốt là Non-Stop, Unknown, Run All Night. Bối cảnh phim xảy ra phần lớn trên một chuyến tàu ở New York. Nhân viên bán bảo hiểm Michael MacCauley do Liam Neeson thủ vai đang trên chuyến tàu về nhà thì vô tình bị dính líu vào một âm mưu cực kì đáng sợ, có thể đe dọa tính mạng của chính ông cũng như toàn bộ hành khách trên tàu…",playing,PG,http://img.vung.tv/images/movies/19528/poster_01_lhe22421.jpg,http://img.vung.tv/images/movies/19528/bg_01_rip75427.jpg,Crime/Thriller
AVENGERS: INFINITY WAR,AVENGERS: CUỘC CHIẾN VÔ CỰC,25/4/2018,156,en,"Robert Downey Jr., Chris Evans, Chris Hemsworth, Benedict Cumberbatch, Tom Hiddleston, Scarlett Johansson, Tom Holland","Anthony Russo, Joe Russo","Biệt Đội Siêu Anh Hùng và đồng minh tiếp tục bảo vệ thế giới khỏi những mối đe dọa đến từ ngoài vũ trụ. Đối thủ lần này của họ là kẻ hùng mạnh nhất: Thanos.

Nối tiếp Thor: Ragnarok và Black Panther, Avengers: Infinity War tiết lộ những sự kiện xảy ra sau khi con thuyền chở người dân Asgard gặp phải Thanos cũng như tình hình Wakanda sau khi “mở cửa”. Với mục đích tạo nên sức mạnh không tưởng, tên bạo chúa Thanos đến trái đất để tìm kiếm những viên đá vô cực đầy quyền năng. Biệt Đội Siêu Anh Hùng sẽ kết hợp cùng Vệ Binh Dải Ngân Hà và những người hùng khác để bảo vệ thế giới trước Thanos và những tên “đàn em” The Black Order. Chênh lệch quá lớn về sức mạnh, làm thế nào để các anh hùng thế giới có thể bảo vệ người dân trước tên bạo chúa?

Mọi thứ mà các nhà làm phim Marvel và Disney tạo ra – khởi đầu bằng Iron Man 2008 đã dẫn đến thời khắc này - thời khắc quyết định số phận tồn vong của Trái Đất. Đây cũng là bộ phim kỷ niệm 10 năm Vũ trụ Điện ảnh Marvel. Dài 2h36 phút, Avengers: Infinity War là tác phẩm dài hơi nhất MCU từ trước tới nay.

Sau hai phần phim hay The Avengers và Avengers: Age Of Ultron thu được hàng tỷ $ trên phòng vé toàn cầu, đạo diễn ""công thần"" Joss Whedon đã rời Marvel và chuyển sang cộng tác cùng DCEU trong Justice League vừa ra rạp chiếu phim tháng 11.2017. Đảm nhận trọng trách đạo diễn cho bộ phim mới lần này là Anthony Russo & Joe Russo – hai vị đạo diễn đã từng thành công với Captain America: The Winter Soldier và Captain America: Civil War.

Ban đầu, Avengers: Cuộc Chiến Vô Cực công bố lịch chiếu tại Mỹ sau thế giới một tuần nhưng trước sức nóng khủng của siêu phẩm hoành tráng nhất về siêu anh hùng, các nhà làm phim đã dời lịch công chiếu chính thức cho Mỹ trùng với thế giới. Chắc chắn, bộ phim sẽ tạo nên một cơn “địa chấn” trên các rạp chiếu phim toàn cầu.

Hiện Avengers: Infinity War vẫn chưa công bố chi phí sản xuất nhưng theo vài nguồn tin, tác phẩm ngốn đến 400 triệu $, vượt hơn cả phim chiếu rạp kinh phí khủng Pirates Of The Caribbean: On Stranger Tides năm 2011 cũng cùng nhà Disney.  Điều này không có gì lạ bởi Cuộc Chiến Vô Cực quy tụ một dàn diễn viên hùng hậu – với 64 tên tuổi siêu anh hùng đã xuất hiện ở MCU và sử dụng kỹ xảo cực kỳ hoành tráng. Không có gì ngạc nhiên nếu Avengers: Cuộc Chiến Vô Cực  sẽ dẫn đầu các bộ phim đang chiếu cùng thời điểm.

Avengers: Infinity War cũng là phần mở đầu lời tạm biệt dành cho thế hệ siêu anh hùng MCU đầu tiên. Số phận Iron Man, Captain America, Thor, Hulk, Black Widow và Hawkeye vẫn còn bỏ ngỏ. Các fan hâm mộ vẫn tha thiết mong rằng trong tương lai sẽ còn được gặp lại những nhân vật yêu thích.   ",coming,PG-13,https://www.galaxycine.vn/media/2018/4/4/avengers1-1522807891261_1522815920178.jpg,,Fantasy/Sci-Fi
A QUIET PLACE,VÙNG ĐẤT CÂM LẶNG,19/4/2018,94,en,"Emily Blunt, John Krasinski",John Krasinski,"Nếu bạn phải sinh sống ở một vùng hoàn toàn im lặng - Một nơi mà nếu bạn gây ra bất kỳ tiếng động nào thì tính mạng sẽ gặp nguy hiểm, chuyện gì sẽ xảy ra?

Lấy bối cảnh tận thế, khi quái vật ngoài hành tinh xâm chiếm Trái Đất, một gia đình phải sống trong tình trạng không âm thanh để sinh tồn, bởi lũ quái vật sẽ tấn công bất cứ sinh vật gì gây ra tiếng động. Họ phải luôn giữ im lặng, không bao giờ rời khỏi con đường và chạy ngay khi thấy báo động đỏ. Cuộc sống của bốn người sẽ tiếp diễn ra sao khi người mẹ sắp cho ra đời một sinh mệnh mới?

""A Quiet Place"" có sự tham gia của nữ diễn viên Emily Blunt và chồng của cô - John Krasinski đảm nhiệm vị trí đạo diễn.",coming,R,https://www.galaxycine.vn/media/2018/3/23/quiet-palce_1521774800776.jpg,,Drama/Thriller
CHARMING,HOÀNG TỬ HÀO HOA,20/4/2018,93,en,"Demi Lovato, Wilmer Valderrama, Sia",Ross Venokur,"Bộ phim mang đến cho khán giả một câu chuyện mới, một góc nhìn cực kỳ thú vị, sáng tạo và chưa bao giờ được kể của ba cô gái xinh đẹp trong xứ sở thần tiên nổi tiếng: Bạch Tuyết, Lọ Lem và Công Chúa Ngủ Trong Rừng. Một ngày nọ cả ba khám phá ra rằng những vị hôn phu mà các cô đính hôn thật ra đều là cùng một người đó là Hoàng Tử Charming. Bên cạnh đó còn có hàng triệu cô gái trong vương quốc thầm thương trộm nhớ muốn trở thành vợ của Hoàng Tử.

Sự cố này xảy ra do hoàng tử bị một lời nguyền có bản tính đào hoa từ khi lọt lòng, nếu không phá được lời nguyền tất cả đàn ông trong vương quốc bị cướp vợ và người yêu sẽ nổi loạn và đó cung sẽ là ngày tàn của vương quốc. Trước tình hình đó, đức vua King Charming đã đưa cho Hoàng Tử một tối hậu thư: tìm được tình yêu đích thực của mình trước ngày sinh nhật thứ 21 của minh để phá giải lời nguyền hoặc mất hết thân phận cũng như không được trờ thành người kế vị.",coming,G,https://www.galaxycine.vn/media/2018/3/30/rfer_1522382575787.jpg,,Fantasy/Musical
DUCK DUCK GOOSE,NGỖNG VỊT PHIÊU LƯU KÝ,25/4/2018,105,cn,"Jim Gaffigan, Zendaya, Lance Lim",Christopher Jenkins,"Peng là một chú ngỗng độc thân thích sống mà không theo kế hoạch. Cậu nghĩ mình giỏi hơn bất kỳ ai và luôn dành thời gian cho những cuộc đua tốc độ điên cuồng. Một lần khi đang bay, Peng rơi trúng một đàn vịt và khiến hai anh em Chao – Chi bị tách khỏi bầy.

Từ đây, một hành trình mới bắt đầu với nhiều tình huống dở khóc dở cười xảy ra.
",coming,G,https://www.galaxycine.vn/media/2018/4/9/duck2_1523257457132.jpg,,Adventure/Comedy
"LOVE, SIMON","THƯƠNG MẾN, SIMON",4/5/2018,134,en,"Nick Robinson, Jennifer Garner, Josh Duhamel",Greg Berlanti,"Love, Simon là tác phẩm có đề tài LGBT nổi bật nhất đầu năm 2018. Bộ phim được chuyển thể từ quyển sách đình đám Simon vs. the Homo Sapiens Agenda, từng được tờ Wall Street Journal đánh giá là một trong những cuốn tiểu thuyết hay nhất dành cho thiếu niên.

Phim tập trung khai thác đề tài đồng tính nam dưới góc nhìn trong sáng, lãng mạn và giàu cảm xúc. Love, Simon hiện nhận được nhiều lời khen ngợi từ các nhà phê bình danh tiếng và các chuyên trang điện ảnh uy tín nhất.",coming,PG-13,https://www.galaxycine.vn/media/2018/4/18/love-simon-1-2_1524045401998.jpg,,Drama/Romance
DEADPOOL 2,,18/5/2018,129,en,"Ryan Reynolds, Morena Baccarin, Gina Carano",David Leitch,"Sau khi suýt chết, gã phản anh hùng Deadpool của chúng ta (Wade Wilson) theo đuổi giấc mơ trở thành người pha chế rượu nóng bỏng nhất của Mayberry đồng thời học cách đối mặt với sự thiếu thốn giác quan của mình. Để tìm lại gia vị cuộc sống, Wade chiến đấu với ninja, băng đảng xã hội đen và một tá nọc đọc quyến rũ khác trong cuộc phiêu lưu khắp thế giới của mình. Trong cuộc phiêu lưu này, anh sẽ khám phá được tầm quan trọng của gia đình, tình bạn.

Phần 2 của siêu phẩm Deadpool được ghi hình tại những địa điểm đẹp nhất Canada, hứa hẹn là quả bom bùng nổ các rạp chiếu phim mùa hè 2018!",coming,R,https://www.galaxycine.vn/media/2018/4/6/deadpool2_1523005201941.jpg,,Fantasy/Action
SLENDER MAN,,18/5/2018,142,en,"Joey King, Julia Goldani Telles, Annalise Basso",Sylvain White,"Slender Man kể về một nhân vật kinh dị có hình dáng đáng sợ với cánh tay dài ngoằng, khuôn mặt trắng toát và đặc biệt là hắn có khả năng xâm nhập tâm trí con người.
Nội dung của phim được thực hiện dựa trên một sự việc có thật xảy ra vào ngày 10.06.2009, từ một bức ảnh đen trắng chụp một kẻ bắt cóc trẻ em với tạo hình kỳ dị đã tạo nên một cơn sốt trong khắp dư luận.
",coming,R,https://www.galaxycine.vn/media/2018/1/4/slender-man---teaser_1515041391634.jpg,,Horror
TRUTH OR DARE,TRUTH OR DARE: CHƠI HAY CHẾT,11/5/2018,87,en,"Lucy Hale, Tyler Posey, Violett Beane",Jeff Wadlow,"Trò chơi tưởng chừng như vô hại – Truth or Dare (Thật hay Thách) – trở thành trở thành “kẻ giết người” khi các thành viên trong nhóm bạn lần lượt bị sát hại bởi một ai đó hoặc thứ gì đó, ngay cả khi họ từ bỏ trò chơi.",coming,PG-13,https://www.galaxycine.vn/media/2018/4/16/truthordare_1523849925450.jpg,,Thriller/Horror
DEATH WISH,,4/5/2018,108,en,"Bruce Willis, Vincent D'Onofrio, Elisabeth Shue",Eli Roth,"Được MGM làm lại dựa trên bộ phim gốc cùng tên năm 1974, nội dung phim tập trung vào Paul Kersey (Bruce Willis vào vai), một bác sĩ phẫu thuật sống tại Chicago, người đã nhận thấy thành phố nơi ông đang sinh sống luôn bị bao trùm bởi những hành động bạo lực và phi nhân tính mà trong đó vợ và cô con gái của Paul cũng là nạn nhân. Lực lượng cảnh sát không thể khống chế được hết những tên tội phạm trong thành phố, vậy nên đây chính là lúc Paul trả thù và làm người hùng.
",coming,PG-13,https://www.galaxycine.vn/media/2018/2/22/dw300_1519283565582.jpg,,Drama/Crime
INCREDIBLE 2,,15/6/2018,145,en,"Samuel L. Jackson, Holly Hunter, Catherine Keener",Brad Bird,"Gia đình siêu nhân 2 kể về những cuộc phiêu lưu của gia đình siêu nhân Parrs. Nhà Parrs bao gồm bố Bob, còn được b`iết tới là Mr. Incredible có sức khỏe phi thường, Helen, vợ của Bob, hay Elastic Girl có khả năng co giãn cơ thể. Và con của họ: Violet có khả năng tàng hình và tạo ra trường bảo vệ, Dash với khả năng chạy siêu nhanh và Jack-Jack có khả năng biến đổi thành nhiều dạng khác nhau. Phần hai của phim tiếp nối sát nội dung của phần một, ngay khi cả gia đình chạm trán Undermine.",coming,G,https://www.galaxycine.vn/media/2018/4/18/r-theincredibles2-header-e017131b_1524022479020.jpeg,,Action/Adventure
ANT-MAN AND THE WASP,,6/7/2018,122,en,"Paul Rudd, Evangeline Lilly, Michelle Pfeiffer",Peyton Reed,"Hậu ""Captain America: Civil War"", Scott Lang phải đấu tranh để cân bằng cuộc sống gia đình với trách nhiệm là Ant-Man. Anh gặp Hope van Dyne và Tiến sĩ Hank Pym với một nhiệm vụ mới cấp bách: học cách chiến đấu cùng với The Wasp để khám phá bí mật quá khứ của hai người.
",coming,PG-13,https://www.galaxycine.vn/media/m/v/mv5bnwm4mwexotutndk1ms00ymrhlwi0nzitzmy3mde2zjzkogiwxkeyxkfqcgdeqxvyntayodkwoq@@.jpg,,Fantasy/Sci-Fi
JURASSIC WORLD: FALLEN KINGDOM,,8/6/2018,133,en,"Bryce Dallas Howard, Chris Pratt, Jeff Goldblum",J.A. Bayona,"Khi tiến hành chiến dịch giải cứu những con khủng long khỏi tuyệt chủng vì thảm họa núi lửa, nhóm thám hiểm vô tình khám phá ra một âm mưu có thể khiến toàn bộ hành tinh đối mặt với một hiểm họa to lớn chưa từng thấy kể từ thời tiền sử.

Bốn năm sau thảm họa Công Viên kỷ Jura bị hủy diệt. Một vài con khủng long vẫn còn sống sót trong rừng trong khi Isla Nublar bị con người bỏ hoang. Lúc này, ngọn núi lửa tại vùng đất này bất ngờ hoạt động lại. Owen (Chris Pratt) và Claire (Bryce Dallas Howard) quyết định tiến hành chiến dịch giải cứu những con khủng long để cứu chúng khỏi nguy cơ tuyệt chủng. Không ngờ rằng, trong hành trình giải cứu những sinh vật khổng lồ này, họ phát hiện ra một bí mật kinh người, có thể gây diệt vong cho Trái Đất.
",coming,PG-13,https://www.galaxycine.vn/media/2018/1/16/a_1516092694568.jpg,,Sci-Fi/Action
MISSION: IMPOSSIBLE - FALLOUT,,27/7/2018,144,en,"Tom Cruise, Rebecca Ferguson, Vanessa Kirby",Christopher McQuarrie,"Với những hình ảnh được hé lộ gần đây, MISSION: IMPOSSIBLE - FALLOUT được trang mạng Collider nhận định là phần phim hấp dẫn nhất trong cả loạt phim. Để hoàn thiện và ra mắt trong mùa phim hè 2018, bộ phim từng gặp nhiều gián đoạn, đặc biệt là khi Tom Cruise bị thương nặng trên trường quay.",coming,PG,https://www.galaxycine.vn/media/2018/2/5/300_1517827517048.jpg,,Thriller/Action
,,,,,,,,,,,,Sci-Fi/Action
